标题：物质鉴别
标题：植物生长
标题：汽车刹车
2022/10/11-16:23:02	选择天气为雨天
2022/10/11-16:23:04	点击试验
2022/10/11-16:23:12	点击恢复
标题：物质鉴别
标题：植物生长
2022/10/11-16:24:27	拖拽植物进光照强度为强光
2022/10/11-16:24:31	拖拽植物进光照强度为中光
2022/10/11-16:24:33	拖拽植物进光照强度为弱光
2022/10/11-16:24:34	点击试验
2022/10/11-16:24:35	点击记录
2022/10/11-16:24:42	点击恢复
2022/10/11-16:24:43	拖拽植物进光照强度为强光
2022/10/11-16:24:45	位置2选择肥量为3g
2022/10/11-16:24:46	拖拽植物进光照强度为中光
2022/10/11-16:24:48	位置5选择肥量为1g
2022/10/11-16:24:49	拖拽植物进光照强度为弱光
2022/10/11-16:24:50	位置9选择肥量为4g
2022/10/11-16:24:52	点击试验
2022/10/11-16:24:55	点击删除
2022/10/11-16:24:56	点击删除
2022/10/11-16:24:59	点击记录
2022/10/11-16:25:02	点击记录
2022/10/11-16:25:19	点击恢复
